label,precision,recall,f1,support
card_arrival,0.875,0.875,0.875,40
card_linking,0.8888888888888888,1.0,0.9411764705882353,40
exchange_rate,0.9285714285714286,0.975,0.9512195121951219,40
card_payment_wrong_exchange_rate,0.9047619047619048,0.95,0.926829268292683,40
extra_charge_on_statement,0.9210526315789473,0.875,0.8974358974358975,40
pending_cash_withdrawal,1.0,0.85,0.918918918918919,40
fiat_currency_support,0.8974358974358975,0.875,0.8860759493670886,40
card_delivery_estimate,0.8780487804878049,0.9,0.8888888888888888,40
automatic_top_up,1.0,0.875,0.9333333333333333,40
card_not_working,0.8636363636363636,0.95,0.9047619047619048,40
exchange_via_app,0.8333333333333334,0.875,0.8536585365853658,40
lost_or_stolen_card,0.9024390243902439,0.925,0.9135802469135802,40
age_limit,0.975609756097561,1.0,0.9876543209876543,40
pin_blocked,0.9722222222222222,0.875,0.9210526315789473,40
contactless_not_working,1.0,0.875,0.9333333333333333,40
top_up_by_bank_transfer_charge,0.972972972972973,0.9,0.935064935064935,40
pending_top_up,0.8974358974358975,0.875,0.8860759493670886,40
cancel_transfer,0.9523809523809523,1.0,0.975609756097561,40
top_up_limits,0.9512195121951219,0.975,0.9629629629629629,40
wrong_amount_of_cash_received,0.8333333333333334,0.875,0.8536585365853658,40
card_payment_fee_charged,0.8085106382978723,0.95,0.8735632183908046,40
transfer_not_received_by_recipient,0.8048780487804879,0.825,0.8148148148148148,40
supported_cards_and_currencies,0.8372093023255814,0.9,0.8674698795180723,40
getting_virtual_card,0.8297872340425532,0.975,0.896551724137931,40
card_acceptance,0.9444444444444444,0.85,0.8947368421052632,40
top_up_reverted,0.9210526315789473,0.875,0.8974358974358975,40
balance_not_updated_after_cheque_or_cash_deposit,0.926829268292683,0.95,0.9382716049382716,40
card_payment_not_recognised,0.8378378378378378,0.775,0.8051948051948052,40
edit_personal_details,1.0,1.0,1.0,40
why_verify_identity,0.9,0.9,0.9,40
unable_to_verify_identity,0.9487179487179487,0.925,0.9367088607594937,40
get_physical_card,0.9523809523809523,1.0,0.975609756097561,40
visa_or_mastercard,1.0,0.925,0.961038961038961,40
topping_up_by_card,0.8048780487804879,0.825,0.8148148148148148,40
disposable_card_limits,0.9210526315789473,0.875,0.8974358974358975,40
compromised_card,0.8611111111111112,0.775,0.8157894736842105,40
atm_support,1.0,0.95,0.9743589743589743,40
direct_debit_payment_not_recognised,0.8888888888888888,0.8,0.8421052631578947,40
passcode_forgotten,1.0,1.0,1.0,40
declined_cash_withdrawal,0.8478260869565217,0.975,0.9069767441860465,40
pending_card_payment,0.925,0.925,0.925,40
lost_or_stolen_phone,0.975,0.975,0.975,40
request_refund,0.8636363636363636,0.95,0.9047619047619048,40
declined_transfer,0.9655172413793104,0.7,0.8115942028985508,40
Refund_not_showing_up,1.0,0.875,0.9333333333333333,40
declined_card_payment,0.75,0.975,0.8478260869565217,40
pending_transfer,0.9285714285714286,0.65,0.7647058823529411,40
terminate_account,0.9302325581395349,1.0,0.963855421686747,40
card_swallowed,1.0,0.875,0.9333333333333333,40
transaction_charged_twice,0.9302325581395349,1.0,0.963855421686747,40
verify_source_of_funds,1.0,1.0,1.0,40
transfer_timing,0.7551020408163265,0.925,0.8314606741573034,40
reverted_card_payment?,0.7659574468085106,0.9,0.8275862068965517,40
change_pin,0.9512195121951219,0.975,0.9629629629629629,40
beneficiary_not_allowed,0.868421052631579,0.825,0.8461538461538461,40
transfer_fee_charged,0.9230769230769231,0.9,0.9113924050632911,40
receiving_money,0.9210526315789473,0.875,0.8974358974358975,40
failed_transfer,0.8,0.9,0.8470588235294118,40
transfer_into_account,0.9,0.9,0.9,40
verify_top_up,1.0,1.0,1.0,40
getting_spare_card,0.8666666666666667,0.975,0.9176470588235294,40
top_up_by_cash_or_cheque,0.9722222222222222,0.875,0.9210526315789473,40
order_physical_card,0.95,0.95,0.95,40
virtual_card_not_working,1.0,0.8,0.8888888888888888,40
wrong_exchange_rate_for_cash_withdrawal,1.0,0.875,0.9333333333333333,40
get_disposable_virtual_card,0.9166666666666666,0.825,0.868421052631579,40
top_up_failed,0.875,0.875,0.875,40
balance_not_updated_after_bank_transfer,0.7560975609756098,0.775,0.7654320987654321,40
cash_withdrawal_not_recognised,0.723404255319149,0.85,0.7816091954022989,40
exchange_charge,0.9736842105263158,0.925,0.9487179487179487,40
top_up_by_card_charge,0.95,0.95,0.95,40
activate_my_card,1.0,0.9,0.9473684210526315,40
cash_withdrawal_charge,0.95,0.95,0.95,40
card_about_to_expire,0.9302325581395349,1.0,0.963855421686747,40
apple_pay_or_google_pay,0.975609756097561,1.0,0.9876543209876543,40
verify_my_identity,0.8809523809523809,0.925,0.9024390243902439,40
country_support,0.9302325581395349,1.0,0.963855421686747,40
